user_id,course_id,round_id,job,age,gender
2397731931fe978eb349,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,직장인,30,남
5eb42ddf1cda5ff826f2,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,창업/사업,34,남
012a9585146a4ddc9f29,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,직장인,32,여
347cba891997ca61b13e,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,창업/사업,34,여
caa3368273ce3b330b3e,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,대학생,23,남
c730ccc2cf5c5b3aad12,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,무직/준비중,28,남
b6bf36d8355332d99d68,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,직장인,29,여
49dac3161c5f60f64c03,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,대학생,31,남
3b84e4c36dc952efb872,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,대학생,21,여
6b2600d8ee6d91e06803,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,기타,30,여
b128a54198dfd1f2f55f,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,대학생,20,여
a6e73714b58fc15d46d3,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,직장인,33,남
78df2a1213d83c8d8e35,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,직장인,32,남
2daa175f237bcc4118ba,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,직장인,44,남
10aaa4d3fe1418564d86,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,대학생,24,남
d0a4d27e9635f4813d3b,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,직장인,28,남
7a4d383833f7c17976cb,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,대학생,26,남
fa613925a1f58e527f9a,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,무직/준비중,25,여
d6d335dcca3971ebc2c5,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,창업/사업,45,남
b7c1f2d341156780d5d5,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,대학생,26,남
73e5529ce5cd77621237,bdd218f17ec6313b96f3,655f288f4382b12fd3d9,대학생,30,남
36bddb2b37077b1adc56,cf06e86a19be34ec1e78,736c6b3d15fe95f501f8,대학생,25,여
